rota,crime
500,29
202A,43
555,95
400,32
092,79
004,89
550,89
333,102
660,35
ROTA_077,35
111,51
263B,42
055,90
090A,52
900B,48
900A,46
090B,52
910_-_Jenipapo,31
903_-_Sítio_Tambor,0
903_-_Mutirão_Nova,0
404,57
202_Ramadinha,39
902_-_Salgadinho,34
004A,57
945_-_Santa_Terezinha,44
505,97
911,33
263A,46
902_-_Estreito,34
202,47
066,34
303,99
444,69
003,84
903_-_Capim_Grande,40
955_-_Paraná,0
910_-_Cuités/Continental,0
020,32
022,39
101,57
222,44
220,39
903,40
901,33
944A_-_Massapê,0
904,45
300B,32
222_Ramadinha,39
944,41
955_-_Santana,44
101_-_Provisória,0
944A,41
009_-_Fazenda_Caiçara,0
922,33
245B,39
245A,37
903_-_Mutirão/São_Januário,0
003B,82
